,index,PhraseId,SentenceId,Phrase,Sentiment,Length,categories,POS
160,394,395,14,perspective,2,1,SingleWord,['NN']
161,397,398,14,throw,2,1,SingleWord,['NN']
162,398,399,14,us,3,1,SingleWord,['PRP']
163,400,401,14,off,1,1,SingleWord,['IN']
164,403,404,14,path,2,1,SingleWord,['NN']
165,406,407,14,sense,2,1,SingleWord,['NN']
166,409,410,15,still,2,1,SingleWord,['RB']
167,414,415,15,Moonlight,2,1,SingleWord,['NN']
168,416,417,15,Mile,2,1,SingleWord,['NN']
169,419,420,15,better,4,1,SingleWord,['RBR']
170,420,421,15,judgment,2,1,SingleWord,['NN']
171,422,423,15,damned,1,1,SingleWord,['VBN']
172,427,428,16,welcome,2,1,SingleWord,['NN']
173,428,429,16,relief,2,1,SingleWord,['NN']
174,432,433,16,baseball,2,1,SingleWord,['NN']
175,433,434,16,movies,2,1,SingleWord,['NNS']
176,436,437,16,try,2,1,SingleWord,['NN']
177,438,439,16,too,2,1,SingleWord,['RB']
178,442,443,16,mythic,2,1,SingleWord,['JJ']
179,452,453,16,sweet,4,1,SingleWord,['NN']
180,453,454,16,modest,3,1,SingleWord,['JJ']
181,455,456,16,ultimately,2,1,SingleWord,['RB']
182,457,458,16,winning,3,1,SingleWord,['VBG']
183,462,463,17,bilingual,2,1,SingleWord,['JJ']
184,463,464,17,charmer,3,1,SingleWord,['NN']
185,468,469,17,woman,2,1,SingleWord,['NN']
186,470,471,17,who,2,1,SingleWord,['WP']
187,472,473,17,inspired,3,1,SingleWord,['VBN']
188,479,480,18,less,2,1,SingleWord,['RBR']
189,481,482,18,dizzily,2,1,SingleWord,['RB']
190,482,483,18,gorgeous,3,1,SingleWord,['JJ']
191,483,484,18,companion,3,1,SingleWord,['NN']
192,485,486,18,Mr.,2,1,SingleWord,['NN']
193,487,488,18,Wong,2,1,SingleWord,['NN']
194,494,495,18,Mood,2,1,SingleWord,['NN']
195,499,500,18,Love,4,1,SingleWord,['NN']
196,500,501,18,--,2,1,SingleWord,[]
197,502,503,18,very,2,1,SingleWord,['RB']
198,505,506,18,Hong,2,1,SingleWord,['NN']
199,507,508,18,Kong,2,1,SingleWord,['NN']
200,508,509,18,movie,2,1,SingleWord,['NN']
201,510,511,18,despite,2,1,SingleWord,['IN']
202,512,513,18,its,2,1,SingleWord,['PRP$']
203,514,515,18,mainland,2,1,SingleWord,['NN']
204,515,516,18,setting,2,1,SingleWord,['VBG']
205,519,520,19,As,2,1,SingleWord,['IN']
206,520,521,19,inept,1,1,SingleWord,['NN']
207,524,525,19,big-screen,2,1,SingleWord,"['JJ', 'NN']"
208,525,526,19,remakes,2,1,SingleWord,['NNS']
209,530,531,19,Avengers,2,1,SingleWord,['NNS']
210,533,534,19,Wild,3,1,SingleWord,['NN']
211,535,536,19,West,2,1,SingleWord,['NN']
212,540,541,20,everything,2,1,SingleWord,['NN']
213,543,544,20,'d,2,1,SingleWord,['NN']
214,547,548,20,expect,2,1,SingleWord,['VB']
215,549,550,20,nothing,1,1,SingleWord,['NN']
216,550,551,20,more,2,1,SingleWord,['RBR']
217,552,553,21,Best,4,1,SingleWord,['JJS']
218,557,558,21,indie,2,1,SingleWord,['NN']
219,560,561,21,year,2,1,SingleWord,['NN']
220,562,563,21,far,2,1,SingleWord,['RB']
221,570,571,22,Hatfield,2,1,SingleWord,['NN']
222,571,572,22,Hicks,2,1,SingleWord,['NNS']
223,573,574,22,make,2,1,SingleWord,['VB']
224,576,577,22,oddest,1,1,SingleWord,['JJS']
225,578,579,22,couples,2,1,SingleWord,['NNS']
226,587,588,22,becomes,2,1,SingleWord,['NNS']
227,590,591,22,study,2,1,SingleWord,['NN']
228,594,595,22,gambles,2,1,SingleWord,['NNS']
229,598,599,22,publishing,2,1,SingleWord,['NN']
230,599,600,22,world,2,1,SingleWord,['NN']
231,601,602,22,offering,2,1,SingleWord,['NN']
232,605,606,22,case,2,1,SingleWord,['NN']
233,609,610,22,exists,2,1,SingleWord,['NNS']
234,610,611,22,apart,2,1,SingleWord,['RB']
235,617,618,22,political,2,1,SingleWord,['JJ']
236,618,619,22,ramifications,2,1,SingleWord,['NNS']
237,626,627,23,going,2,1,SingleWord,['VBG']
238,630,631,23,house,2,1,SingleWord,['NN']
239,631,632,23,party,2,1,SingleWord,['NN']
240,633,634,23,watching,2,1,SingleWord,['VBG']
241,636,637,23,host,2,1,SingleWord,['NN']
242,639,640,23,defend,2,1,SingleWord,['NN']
243,640,641,23,himself,2,1,SingleWord,['PRP']
244,642,643,23,against,2,1,SingleWord,['IN']
245,645,646,23,frothing,1,1,SingleWord,['VBG']
246,646,647,23,ex-girlfriend,2,1,SingleWord,"['NNS', 'VBP']"
247,651,652,24,Chuck,2,1,SingleWord,['NN']
248,653,654,24,Norris,2,1,SingleWord,['NN']
249,655,656,24,``,2,1,SingleWord,[]
250,657,658,24,grenade,1,1,SingleWord,['NN']
251,659,660,24,gag,1,1,SingleWord,['NN']
252,660,661,24,'',2,1,SingleWord,[]
253,663,664,24,occurs,2,1,SingleWord,['NNS']
254,668,669,24,7,2,1,SingleWord,[]
255,669,670,24,times,2,1,SingleWord,['NNS']
256,671,672,24,during,2,1,SingleWord,['IN']
257,672,673,24,Windtalkers,2,1,SingleWord,['NNS']
258,677,678,24,indication,2,1,SingleWord,['NN']
259,680,681,24,how,2,1,SingleWord,['WRB']
260,683,684,24,serious-minded,2,1,SingleWord,"['JJ', 'VBD']"
261,685,686,24,film,2,1,SingleWord,['NN']
262,688,689,25,plot,2,1,SingleWord,['NN']
263,694,695,25,romantic,2,1,SingleWord,['JJ']
264,696,697,25,comedy,3,1,SingleWord,['NN']
265,697,698,25,boilerplate,2,1,SingleWord,['NN']
266,699,700,25,start,2,1,SingleWord,['NN']
267,701,702,25,finish,2,1,SingleWord,['NN']
268,705,706,26,arrives,2,1,SingleWord,['NNS']
269,713,714,26,impeccable,4,1,SingleWord,['JJ']
270,715,716,26,pedigree,2,1,SingleWord,['NN']
271,718,719,26,mongrel,1,1,SingleWord,['NN']
272,719,720,26,pep,2,1,SingleWord,['NN']
273,720,721,26,almost,2,1,SingleWord,['RB']
274,722,723,26,indecipherable,2,1,SingleWord,['JJ']
275,724,725,26,complications,1,1,SingleWord,['NNS']
276,730,731,27,clearly,2,1,SingleWord,['RB']
277,732,733,27,means,2,1,SingleWord,['NNS']
278,736,737,27,preach,2,1,SingleWord,['NN']
279,737,738,27,exclusively,2,1,SingleWord,['RB']
280,740,741,27,converted,2,1,SingleWord,['VBN']
281,743,744,28,While,2,1,SingleWord,['IN']
282,751,752,28,offers,2,1,SingleWord,['NNS']
283,753,754,28,opportunities,2,1,SingleWord,['NNS']
284,756,757,28,occasional,2,1,SingleWord,['JJ']
285,757,758,28,smiles,2,1,SingleWord,['NNS']
286,758,759,28,chuckles,1,1,SingleWord,['NNS']
287,765,766,28,give,3,1,SingleWord,['VB']
288,773,774,28,theater,3,1,SingleWord,['NN']
289,775,776,28,beyond,2,1,SingleWord,['IN']
290,780,781,28,Wilde,2,1,SingleWord,['NN']
291,784,785,28,actors,2,1,SingleWord,['NNS']
292,785,786,28,',2,1,SingleWord,[]
293,788,789,29,latest,2,1,SingleWord,['JJS']
294,792,793,29,vapid,1,1,SingleWord,['NN']
295,795,796,29,actor,2,1,SingleWord,['NN']
296,796,797,29,exercise,2,1,SingleWord,['NN']
297,800,801,29,appropriate,3,1,SingleWord,['NN']
298,802,803,29,structure,2,1,SingleWord,['NN']
299,806,807,29,Arthur,2,1,SingleWord,['NN']
300,808,809,29,Schnitzler,2,1,SingleWord,['NN']
301,809,810,29,Reigen,2,1,SingleWord,['NN']
302,816,817,30,vaudeville,2,1,SingleWord,['NN']
303,818,819,30,show,2,1,SingleWord,['NN']
304,820,821,30,than,2,1,SingleWord,['IN']
305,822,823,30,well-constructed,3,1,SingleWord,"['RB', 'VBN']"
306,823,824,30,narrative,2,1,SingleWord,['JJ']
307,826,827,30,on,2,1,SingleWord,['IN']
308,828,829,30,those,2,1,SingleWord,['DT']
309,829,830,30,terms,2,1,SingleWord,['NNS']
310,835,836,30,inoffensive,1,1,SingleWord,['JJ']
311,836,837,30,actually,2,1,SingleWord,['RB']
312,838,839,30,rather,2,1,SingleWord,['RB']
313,845,846,31,run-of-the-mill,1,1,SingleWord,"['NN', 'IN', 'DT', 'NN']"
314,846,847,31,action,2,1,SingleWord,['NN']
315,853,854,32,Hampered,2,1,SingleWord,['VBN']
316,857,858,32,no,1,1,SingleWord,['DT']
317,859,860,32,paralyzed,2,1,SingleWord,['VBN']
318,863,864,32,self-indulgent,1,1,SingleWord,"['NN', 'NN']"
319,864,865,32,script,2,1,SingleWord,['NN']
320,865,866,32,...,2,1,SingleWord,[]
321,870,871,32,aims,2,1,SingleWord,['NNS']
322,872,873,32,poetry,3,1,SingleWord,['NN']
323,875,876,32,ends,2,1,SingleWord,['NNS']
324,876,877,32,up,2,1,SingleWord,['RB']
325,878,879,32,sounding,3,1,SingleWord,['VBG']
326,880,881,32,satire,2,1,SingleWord,['NN']
327,887,888,33,Ice,2,1,SingleWord,['NN']
328,888,889,33,Age,2,1,SingleWord,['NN']
329,893,894,33,first,2,1,SingleWord,['RB']
330,895,896,33,computer-generated,2,1,SingleWord,"['NN', 'VBD']"
331,897,898,33,feature,2,1,SingleWord,['NN']
332,898,899,33,cartoon,2,1,SingleWord,['NN']
333,901,902,33,feel,2,1,SingleWord,['NN']
334,904,905,33,other,2,1,SingleWord,['JJ']
335,908,909,33,makes,2,1,SingleWord,['VBZ']
336,912,913,33,glacial,2,1,SingleWord,['JJ']
337,913,914,33,pacing,2,1,SingleWord,['VBG']
338,915,916,33,early,2,1,SingleWord,['RB']
339,930,931,34,here,2,1,SingleWord,['RB']
340,933,934,34,makers,2,1,SingleWord,['NNS']
341,936,937,34,serve,2,1,SingleWord,['NN']
342,939,940,34,cliches,2,1,SingleWord,['NNS']
343,942,943,34,considerable,3,1,SingleWord,['JJ']
344,943,944,34,dash,2,1,SingleWord,['NN']
345,945,946,35,Cattaneo,2,1,SingleWord,['NN']
346,951,952,35,followed,2,1,SingleWord,['VBD']
347,955,956,35,runaway,2,1,SingleWord,['NN']
348,956,957,35,success,3,1,SingleWord,['NN']
349,965,966,35,Full,3,1,SingleWord,['JJ']
350,966,967,35,Monty,2,1,SingleWord,['NN']
351,969,970,35,different,2,1,SingleWord,['JJ']
352,971,972,36,They,2,1,SingleWord,['PRP']
353,974,975,36,'re,2,1,SingleWord,['NN']
354,979,980,36,unnamed,2,1,SingleWord,['JJ']
355,982,983,36,easily,3,1,SingleWord,['RB']
356,983,984,36,substitutable,1,1,SingleWord,['JJ']
357,984,985,36,forces,2,1,SingleWord,['NNS']
358,989,990,36,whatever,1,1,SingleWord,['WDT']
359,991,992,36,terror,1,1,SingleWord,['NN']
360,995,996,36,heroes,3,1,SingleWord,['NNS']
361,998,999,36,horror,1,1,SingleWord,['NN']
362,1001,1002,36,avoid,0,1,SingleWord,['NN']
363,1006,1007,37,feels,2,1,SingleWord,['NNS']
364,1009,1010,37,if,2,1,SingleWord,['IN']
365,1015,1016,37,interested,3,1,SingleWord,['JJ']
366,1018,1019,37,itself,2,1,SingleWord,['PRP']
367,1022,1023,37,amusing,4,1,SingleWord,['VBG']
368,1026,1027,38,progression,2,1,SingleWord,['NN']
369,1028,1029,38,into,2,1,SingleWord,['IN']
370,1030,1031,38,rambling,1,1,SingleWord,['VBG']
371,1031,1032,38,incoherence,1,1,SingleWord,['NN']
372,1036,1037,38,gives,2,1,SingleWord,['VBZ']
373,1038,1039,38,new,3,1,SingleWord,['JJ']
374,1039,1040,38,meaning,2,1,SingleWord,['NN']
375,1043,1044,38,phrase,2,1,SingleWord,['NN']
376,1045,1046,38,`,2,1,SingleWord,[]
377,1047,1048,38,fatal,2,1,SingleWord,['NN']
378,1049,1050,38,error,1,1,SingleWord,['NN']
379,1055,1056,39,Do,2,1,SingleWord,['VB']
380,1058,1059,39,judge,2,1,SingleWord,['NN']
381,1060,1061,39,soon,2,1,SingleWord,['RB']
382,1061,1062,39,-,2,1,SingleWord,[]
383,1068,1069,39,dark,2,1,SingleWord,['NN']
384,1071,1072,39,gritty,3,1,SingleWord,['NN']
385,1077,1078,39,takes,2,1,SingleWord,['VBZ']
386,1081,1082,39,totally,2,1,SingleWord,['RB']
387,1082,1083,39,unexpected,2,1,SingleWord,['JJ']
388,1083,1084,39,directions,2,1,SingleWord,['NNS']
389,1085,1086,39,keeps,2,1,SingleWord,['NNS']
390,1092,1093,40,young,2,1,SingleWord,['JJ']
391,1093,1094,40,romantics,3,1,SingleWord,['NNS']
392,1095,1096,40,out,1,1,SingleWord,['IN']
393,1098,1099,40,date,2,1,SingleWord,['NN']
394,1106,1107,41,Tartakovsky,2,1,SingleWord,['NN']
395,1107,1108,41,team,3,1,SingleWord,['NN']
396,1112,1113,41,freakish,3,1,SingleWord,['JJ']
397,1113,1114,41,powers,2,1,SingleWord,['NNS']
398,1116,1117,41,visual,2,1,SingleWord,['JJ']
399,1117,1118,41,charm,3,1,SingleWord,['NN']
400,1121,1122,41,five,2,1,SingleWord,['CD']
401,1122,1123,41,writers,2,1,SingleWord,['NNS']
402,1124,1125,41,slip,2,1,SingleWord,['NN']
403,1129,1130,41,modern,2,1,SingleWord,['JJ']
404,1130,1131,41,rut,1,1,SingleWord,['NN']
405,1133,1134,41,banality,1,1,SingleWord,['NN']
406,1136,1137,42,Vincent,2,1,SingleWord,['NN']
407,1137,1138,42,Gallo,2,1,SingleWord,['NN']
408,1143,1144,42,right,3,1,SingleWord,['NN']
409,1145,1146,42,at,2,1,SingleWord,['IN']
410,1146,1147,42,home,2,1,SingleWord,['NN']
411,1150,1151,42,French,2,1,SingleWord,['JJ']
412,1151,1152,42,shocker,2,1,SingleWord,['NN']
413,1153,1154,42,playing,2,1,SingleWord,['VBG']
414,1156,1157,42,usual,2,1,SingleWord,['JJ']
415,1158,1159,42,bad,0,1,SingleWord,['JJ']
416,1160,1161,42,boy,2,1,SingleWord,['NN']
417,1162,1163,42,weirdo,2,1,SingleWord,['NN']
418,1163,1164,42,role,2,1,SingleWord,['NN']
419,1171,1172,43,primary,2,1,SingleWord,['NN']
420,1172,1173,43,goal,3,1,SingleWord,['NN']
421,1177,1178,43,frighten,2,1,SingleWord,['NNS']
422,1178,1179,43,disturb,1,1,SingleWord,['NN']
423,1181,1182,43,then,2,1,SingleWord,['RB']
424,1187,1188,43,works,2,1,SingleWord,['NNS']
425,1189,1190,43,spectacularly,4,1,SingleWord,['RB']
426,1190,1191,43,well,3,1,SingleWord,['RB']
427,1194,1195,43,shiver-inducing,3,1,SingleWord,"['NN', 'NN']"
428,1196,1197,43,nerve-rattling,2,1,SingleWord,"['NN', 'VBG']"
429,1197,1198,43,ride,2,1,SingleWord,['NN']
430,1201,1202,44,100-minute,2,1,SingleWord,['NN']
431,1203,1204,44,only,2,1,SingleWord,['RB']
432,1209,1210,44,25,2,1,SingleWord,[]
433,1210,1211,44,minutes,2,1,SingleWord,['NNS']
434,1213,1214,44,decent,3,1,SingleWord,['NN']
435,1214,1215,44,material,2,1,SingleWord,['NN']
436,1216,1217,45,Fortunately,2,1,SingleWord,['RB']
437,1223,1224,45,option,2,1,SingleWord,['NN']
438,1230,1231,46,sensational,4,1,SingleWord,['JJ']
439,1231,1232,46,true-crime,2,1,SingleWord,"['JJ', 'NN']"
440,1234,1235,46,hell-jaunt,1,1,SingleWord,"['NN', 'NN']"
441,1235,1236,46,purists,2,1,SingleWord,['NNS']
442,1237,1238,46,might,2,1,SingleWord,['MD']
443,1242,1243,46,experimental,2,1,SingleWord,['NN']
444,1245,1246,46,storytelling,2,1,SingleWord,['VBG']
445,1247,1248,46,-LRB-,1,1,SingleWord,['NN']
446,1250,1251,46,though,2,1,SingleWord,['IN']
447,1254,1255,46,horrifying,1,1,SingleWord,['VBG']
448,1256,1257,46,-RRB-,3,1,SingleWord,['NN']
449,1262,1263,47,tricky,2,1,SingleWord,['NN']
450,1263,1264,47,satisfying,4,1,SingleWord,['VBG']
451,1266,1267,47,any,2,1,SingleWord,['DT']
452,1268,1269,47,David,2,1,SingleWord,['NN']
453,1271,1272,47,Mamet,2,1,SingleWord,['NN']
454,1274,1275,47,airless,2,1,SingleWord,['NN']
455,1276,1277,47,cinematic,3,1,SingleWord,['JJ']
456,1278,1279,47,shell,2,1,SingleWord,['NN']
457,1279,1280,47,games,2,1,SingleWord,['NNS']
458,1283,1284,48,'m,2,1,SingleWord,['NN']
459,1285,1286,48,sure,2,1,SingleWord,['NN']
460,1292,1293,48,filmmaker,2,1,SingleWord,['NN']
461,1294,1295,48,disagree,3,1,SingleWord,['NN']
462,1296,1297,48,honestly,3,1,SingleWord,['RB']
463,1301,1302,48,see,2,1,SingleWord,['VB']
464,1303,1304,48,point,2,1,SingleWord,['NN']
465,1305,1306,49,Jones,2,1,SingleWord,['NNS']
466,1311,1312,49,tackled,2,1,SingleWord,['VBN']
467,1314,1315,49,meaty,3,1,SingleWord,['NN']
468,1315,1316,49,subject,2,1,SingleWord,['NN']
469,1318,1319,49,drawn,2,1,SingleWord,['NN']
470,1320,1321,49,engaging,4,1,SingleWord,['VBG']
471,1321,1322,49,characters,2,1,SingleWord,['NNS']
472,1325,1326,49,peppering,2,1,SingleWord,['VBG']
473,1327,1328,49,pages,2,1,SingleWord,['NNS']
474,1330,1331,49,memorable,4,1,SingleWord,['JJ']
475,1331,1332,49,zingers,2,1,SingleWord,['NNS']
476,1334,1335,50,Bloody,1,1,SingleWord,['NN']
477,1335,1336,50,Sunday,2,1,SingleWord,['NN']
478,1340,1341,50,grace,3,1,SingleWord,['NN']
479,1345,1346,50,call,2,1,SingleWord,['NN']
480,1349,1350,50,prevention,2,1,SingleWord,['NN']
481,1353,1354,50,place,2,1,SingleWord,['NN']
482,1354,1355,50,blame,2,1,SingleWord,['NN']
483,1356,1357,50,making,2,1,SingleWord,['VBG']
484,1364,1365,50,war,1,1,SingleWord,['NN']
485,1366,1367,50,ever,2,1,SingleWord,['RB']
486,1367,1368,50,made,2,1,SingleWord,['VBN']
487,1374,1375,51,clunky,1,1,SingleWord,['NN']
488,1375,1376,51,TV-movie,2,1,SingleWord,"['NN', 'NN']"
489,1376,1377,51,approach,2,1,SingleWord,['NN']
490,1380,1381,51,detailing,3,1,SingleWord,['VBG']
491,1382,1383,51,chapter,2,1,SingleWord,['NN']
492,1386,1387,51,life,3,1,SingleWord,['NN']
493,1390,1391,51,celebrated,3,1,SingleWord,['VBN']
494,1392,1393,51,Irish,2,1,SingleWord,['JJ']
495,1394,1395,51,playwright,2,1,SingleWord,['NN']
496,1398,1399,51,poet,2,1,SingleWord,['NN']
497,1399,1400,51,drinker,2,1,SingleWord,['NN']
498,1401,1402,52,Finally,2,1,SingleWord,['RB']
499,1410,1411,52,coming,2,1,SingleWord,['VBG']
500,1412,1413,52,down,2,1,SingleWord,['RB']
501,1416,1417,52,Miramax,2,1,SingleWord,['NN']
502,1418,1419,52,deep,2,1,SingleWord,['NN']
503,1419,1420,52,shelves,2,1,SingleWord,['NNS']
504,1421,1422,52,after,2,1,SingleWord,['IN']
